newIndex,A_adcl,B_adcl,C_adcl,D_adcl,E_adcl
CC11CM20SCRc92bc6dccd7d428785acca98c38e1203,8e-06,8e-06,0.207065,0.14741600000000002,0.223997
CC11CM34SCRd2ab0856ca694a32ae12bc0f81226242,9e-06,0.22872,0.13089,0.121196,0.031158
CC11CM74SCRa213032683924b65901c0564e4df0034,0.141714,0.150463,0.097512,0.157631,0.26361100000000004
CC11CM0SCRda69a360140c4f6da522f9245a9f5db3,8e-06,7.000000000000002e-06,5e-06,0.045648,0.242753
CC11CM72SCR3d6233af9f3d462cbd0cc24b0fd6ef52,8e-06,0.0313,8e-06,0.12959500000000002,0.23612600000000006
CC11CM91SCRe6981a98c5884cd78307ea942214eb61,0.009345,0.005443,0.144309,0.120665,0.071161
CC11CM44SCRca3db34ad87d417894bba2e4a06153b3,7.000000000000002e-06,0.061038,0.019634,0.068713,0.168754
CC11CM0SCR6d4aac78b0d242779e124ddd2ab22394,6e-06,5e-06,0.033421,0.028030000000000003,0.235805
CC11CM11SCR60c333f13cae48d388016312b9ce6db4,0.25100300000000003,0.214127,0.254734,0.003853,0.203182
CC11CM13SCRfd6a1111ff2245b79067c15c0848674d,0.009345,0.005443,0.144309,0.120665,0.071161
CC11CM33SCR28c6015fb0bf46bf90e8608e2310e2a1,1e-06,6e-06,8e-06,0.130732,0.241839
CC11CM94SCRabe9e718c586431fba807f25adf40f58,0.06385,0.085333,0.128234,0.155559,0.248669
CC11CM49SCR2e597cc25e424f358b8e66b2a6b75df8,8e-06,8e-06,9e-06,0.117523,0.031872000000000004
CC11CM16SCR3f46b54ede1b4fa59e016ea65b2d3428,7.000000000000002e-06,6e-06,0.240063,0.304686,0.278679
CC11CM38SCRcc586da40cd941109e33067bd0f93457,9e-06,1e-05,0.056078,0.181929,0.258792
CC11CM31SCRb20a09f9a57a44ec9d6c1100209a6607,7.000000000000002e-06,5e-06,6e-06,0.121126,0.096914
CC11CM45SCRd935e7b079fe44679e9513063cf99cd9,7.000000000000002e-06,6e-06,0.070174,0.124584,0.088937
