ncbi_tax_id,CC11CM0,CC11CM1,CC11CM10,CC11CM11,CC11CM12,CC11CM13,CC11CM14,CC11CM15,CC11CM16,CC11CM17,CC11CM18,CC11CM19,CC11CM2,CC11CM20,CC11CM21,CC11CM22,CC11CM23,CC11CM24,CC11CM25,CC11CM26,CC11CM27,CC11CM28,CC11CM29,CC11CM3,CC11CM30,CC11CM31,CC11CM32,CC11CM33,CC11CM34,CC11CM35,CC11CM36,CC11CM37,CC11CM38,CC11CM39,CC11CM4,CC11CM40,CC11CM41,CC11CM42,CC11CM43,CC11CM44,CC11CM45,CC11CM46,CC11CM47,CC11CM48,CC11CM49,CC11CM5,CC11CM50,CC11CM51,CC11CM52,CC11CM53,CC11CM54,CC11CM55,CC11CM56,CC11CM57,CC11CM58,CC11CM59,CC11CM6,CC11CM60,CC11CM61,CC11CM62,CC11CM63,CC11CM64,CC11CM65,CC11CM66,CC11CM67,CC11CM68,CC11CM69,CC11CM7,CC11CM70,CC11CM71,CC11CM72,CC11CM73,CC11CM74,CC11CM75,CC11CM76,CC11CM77,CC11CM78,CC11CM79,CC11CM8,CC11CM80,CC11CM81,CC11CM82,CC11CM83,CC11CM84,CC11CM85,CC11CM86,CC11CM87,CC11CM88,CC11CM89,CC11CM9,CC11CM90,CC11CM91,CC11CM92,CC11CM93,CC11CM94,CC11CM95,CC11CM96,CC11CM97,CC11CM98,CC11CM99
853,520.0,1343.0,6035.0,3278.0,2989.0,2001.0,,3233.0,3267.0,1176.0,2112.0,1506.0,1883.0,3905.0,4654.0,2372.0,2004.0,9391.0,,4039.0,6714.0,6842.0,6462.0,1627.0,,8977.0,3745.0,828.0,3346.0,1979.0,858.0,5669.0,3722.0,,3086.0,4762.0,4605.0,,4719.0,3887.0,3892.0,176.0,9408.0,1385.0,3241.0,478.0,,,,,4469.0,12937.0,8257.0,4670.0,541.0,6378.0,,13180.0,5516.0,4707.0,5772.0,,5269.0,3305.0,6762.0,3734.0,2176.0,3139.0,4830.0,1147.0,,2037.0,8927.0,5526.0,,3411.0,3597.0,5549.0,,10549.0,,,6948.0,,3933.0,,1725.0,5056.0,4619.0,7002.0,13175.0,5002.0,18403.0,,2498.0,,,12251.0,7382.0,1050.0
880074,2475.0,,,,,,,,,55.0,1832.0,,,449.0,,,,,,,,,623.0,,,,,,,,,,,1393.0,,,,,,1059.0,,,,3032.0,933.0,,,,,691.0,,,,,1889.0,3268.0,,2582.0,117.0,,,,,260.0,,,,,,,,,,,,,,,,,,,,3924.0,1675.0,,,2493.0,5853.0,,,,,,,,,,,2771.0
88431,38.0,,1051.0,,,188.0,,,146.0,,,,,80.0,,,,,,3678.0,362.0,,,879.0,865.0,,,,295.0,,,,336.0,,,,487.0,454.0,,32.0,,1601.0,86.0,377.0,1829.0,1094.0,999.0,,,,1018.0,35.0,1148.0,,,,,,,,,433.0,462.0,,619.0,1548.0,,,,,,2182.0,,629.0,,216.0,,,,,,,,,,,,606.0,,,,,,1724.0,,,,2931.0,,
907,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,
997875,843.0,,,,,,,,,,,,,2018.0,,,,,,,,,,,,,,,,,,,,,2359.0,,,,,,,,,,,,,,,,,,,,,1418.0,,,,,,,,,,,,,,,,,,,,,,,,170.0,,,,,,,,,,,,,,,,,,,,
1007096,,380.0,,234.0,58.0,,,647.0,232.0,837.0,,,,161.0,,950.0,,815.0,657.0,,,994.0,,,,182.0,532.0,,,60.0,,,,888.0,,,,427.0,697.0,,,187.0,,,,99.0,,,,,,,,553.0,583.0,,,,,,,1433.0,,488.0,890.0,,96.0,615.0,,772.0,,,,,294.0,,,586.0,530.0,,,202.0,,,832.0,193.0,1024.0,,,,,975.0,,833.0,1287.0,1174.0,,,,
105841,,454.0,725.0,,,,,,,,,,,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484.0,,1050.0,,,,,,,,,,,,,,24.0,,,,,,,899.0,,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698.0
1111760,,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7056.0,,,,,,,,,,,,
1121097,,636.0,,,,567.0,,,,,,,,,,,,,,,,,,,,,,,,,708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123308,,2533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.0,,,,,,,,,,,,,1653.0,,,,,,,,,,,
